"","time","number_of_objects"
"512","07/10/2022 03:00",0
"513","07/10/2022 04:00",0
"514","07/10/2022 05:00",0
"515","07/10/2022 06:00",0
"516","07/10/2022 07:00",0
"517","07/10/2022 08:00",0
"518","07/10/2022 09:00",0
"519","07/10/2022 10:00",0
"520","07/10/2022 11:00",0
"521","07/10/2022 12:00",0
"522","07/10/2022 13:00",0
"523","07/10/2022 14:00",0
"524","07/10/2022 15:00",0
"525","07/10/2022 16:00",0
"526","07/10/2022 17:00",0
"527","07/10/2022 18:00",0
"528","07/10/2022 19:00",0
"529","07/10/2022 20:00",0
"530","07/10/2022 21:00",2
"531","07/10/2022 22:00",2
"532","07/10/2022 23:00",0
"533","07/11/2022 00:00",3
"534","07/11/2022 01:00",0
"535","07/11/2022 02:00",13
"536","07/11/2022 03:00",1
"537","07/11/2022 04:00",0
"538","07/11/2022 05:00",0
"539","07/11/2022 06:00",0
"540","07/11/2022 07:00",0
"541","07/11/2022 08:00",0
"542","07/11/2022 09:00",0
"543","07/11/2022 10:00",0
"544","07/11/2022 11:00",0
"545","07/11/2022 12:00",0
"546","07/11/2022 13:00",0
"547","07/11/2022 14:00",0
"548","07/11/2022 15:00",0
"549","07/11/2022 16:00",0
"550","07/11/2022 17:00",0
"551","07/11/2022 18:00",0
"552","07/11/2022 19:00",0
"553","07/11/2022 20:00",31
"554","07/11/2022 21:00",4
"555","07/11/2022 22:00",3
"556","07/11/2022 23:00",2
"557","07/12/2022 00:00",0
"558","07/12/2022 01:00",0
"559","07/12/2022 02:00",0
"560","07/12/2022 03:00",0
"561","07/12/2022 04:00",0
"562","07/12/2022 05:00",0
"563","07/12/2022 06:00",0
"564","07/12/2022 07:00",0
"565","07/12/2022 08:00",0
"566","07/12/2022 09:00",0
"567","07/12/2022 10:00",0
"568","07/12/2022 11:00",0
"569","07/12/2022 12:00",0
"570","07/12/2022 13:00",0
"571","07/12/2022 14:00",0
"572","07/12/2022 15:00",0
"573","07/12/2022 16:00",0
"574","07/12/2022 17:00",0
"575","07/12/2022 18:00",0
"576","07/12/2022 19:00",0
"577","07/12/2022 20:00",8
